source_text,target_text
"Auditory sensation can occur if high-intensity ultrasound is fed directly into the human skull and reaches the cochlea through bone conduction, without passing through the middle ear.","If ultrasound is fed directly into the skull bone and reaches the cochlea without passing through the middle ear, much higher frequencies (up to about 200 kHz) can be heard."
Baker cysts may form and rupture.,"Cysts may develop and rupture behind the knees, suddenly increasing the pain."
"Barium x-rays of the small bowel Abdominal CT (conventional or CT enterography) Sometimes barium enema, magnetic resonance (MR) enterography, upper endoscopy, colonoscopy, and/or video capsule endoscopy.",Imaging tests Colonoscopy.
"Basic blood tests, including CBC, electrolytes, and liver function tests, should be done to assess anemia, hydration, general condition, and possible liver metastases.","Basic blood tests are done including complete blood count, electrolytes, liver blood tests, and carcinoembryonic antigen level."
"Because symptoms are often nonspecific, the diagnosis is frequently missed if erythema migrans is absent; a high index of suspicion is required.","These symptoms are often mistaken for influenza or common viral infections, especially if erythema migrans is not present."
"Binges, often over several days, lead to an exhaustion syndrome or `` washed out '' syndrome, involving intense fatigue and need for sleep.","Binges, often over several days, lead to exhaustion and a need for sleep."
"Blisters filled with clear serum indicate superficial damage; superficial damage heals without residual tissue loss. Blood-filled, proximal blisters indicate deep damage and likely tissue loss.",Blisters filled with clear fluid indicate milder damage than do blisters filled with blood -stained fluid.
"Both infections appear to be more severe and have a higher mortality rate in patients with compromised immunity caused by immunosuppressants (eg, corticosteroids, cancer chemotherapy, long-term treatment with immunosuppressants after organ transplantation), HIV infection, or splenectomy.",Symptoms of both infections are more severe in people with a weakened immune system (due to a disorder such as HIV infection or to drugs such as corticosteroids). Death is uncommon but is more likely to occur in people with a weakened immune system or who are not treated soon enough.
Caloric intake is reduced by Establishing a well-balanced diet of ordinary foods; Making permanent changes in eating habits.,Calorie intake is reduced by Establishing a well-balanced diet of ordinary foods; Making permanent changes in eating habits.
"Carditis can occur alone or in combination with pericardial rub, murmurs, cardiac enlargement, or heart failure. In about 50 % of cases, cardiac damage (ie, persistent valve dysfunction) occurs much later.","Some children with heart inflammation have no symptoms, and the inflammation is recognized years later when heart damage is discovered."
Children may put off having bowel movements because the stools are hard and uncomfortable to pass or because they do not want to interrupt play.,"Also, children may intentionally put off having BMs (called stool withholding) because they have a painful anal fissure or because they do not want to stop playing."
Cholesteatomas must be removed surgically.,A cholesteatoma must be removed surgically.
"Chronic alcoholism, rather than liver disease, causes Dupuytren contracture of the palmar fascia, vascular spiders, myopathy, and peripheral neuropathy.","Heavy drinking can make the bands of fibrous tissue in the palms tighten, causing the fingers to curl (called Dupuytren contracture), and make the palms look red (called palmar erythema). Small spiderlike blood vessels (spider angiomas) may appear in the skin of the upper body."
"Clinicians should ask specifically about drugs that can cause prolactin release such as oral contraceptives, antihypertensive drugs (eg, methyldopa, reserpine, verapamil), H2-antagonists (eg, cimetidine, ranitidine), opioids, and dopamine D2 antagonists (eg, many psychoactive drugs, including phenothiazines and tricyclic antidepressants).",Women are also asked whether they have had disorders or take drugs that can increase prolactin levels.
"Clinicians suspect hyperemesis gravidarum based on symptoms (eg, onset, duration, and frequency of vomiting; exacerbating and relieving factors; type and amount of emesis).",Doctors ask women about the vomiting: When it started; How long it lasts; How many times a day it occurs; Whether anything relieves or makes it worse; What the vomit looks like; How much vomit there is.
Common symptoms and signs are Tachycardia; Diaphoresis; Postural hypotension; Tachypnea; Cold and clammy skin; Severe headache; Angina; Palpitations; Nausea and vomiting; Epigastric pain; Visual disturbances; Dyspnea; Paresthesias; Constipation; A sense of impending doom.,Symptoms include A fast and pounding heart rate; Excessive sweating; Light-headedness when standing; Rapid breathing; Cold and clammy skin; Severe headaches; Chest and stomach pain; Nausea and vomiting; Vision disturbances; Tingling fingers; Constipation; An odd sense of impending doom.
"Common warts are sharply demarcated, rough, round or irregular, firm, and light gray, yellow, brown, or gray-black nodules 2 to 10 mm in diameter. They appear most often on sites subject to trauma (eg, fingers, elbows, knees, face) but may spread elsewhere.","Common warts (also called verrucae vulgaris), which almost everyone gets, are firm growths that usually have a rough surface. They are round or irregularly shaped; are light gray, yellow, brown, or gray-black; and are usually less than 1/2 inch (about 1 centimeter) across. Generally, they appear on areas that are frequently injured, such as the knees, face, fingers, and elbows."
"Concomitant peritoneal tumor seeding may produce ascites, but jaundice is usually absent or mild initially unless a tumor causes biliary obstruction.","At first, unless the cancer is blocking the bile ducts, the person has mild or no jaundice (a yellowish discoloration of the skin and the whites of the eyes). Later, the abdomen may become swollen (distended) with fluid (a condition called ascites)."
Concomitant rhinitis is common.,"Many people have an itchy, runny nose."
"Counseling to help adolescents cope with their problems, including poor self-esteem, may be helpful.","Counseling to help adolescents cope with social problems, including poor self-esteem, may be helpful."
Death usually occurs 13 to 15 yr after symptoms begin.,Death usually occurs 13 to 15 years after symptoms begin.
"Deficits may progress over several more days to a complete transverse sensorimotor myelopathy, causing paraplegia, loss of sensation below the lesion, urinary retention, and fecal incontinence.","Symptoms may worsen over several more days and may become severe, resulting in paralysis, loss of sensation, retention of urine, and loss of bladder and bowel control."
"Despite the severity of symptoms during acute attacks, most patients recover swiftly and remain free of illness until their next attack.","Despite the severity of symptoms during attacks, people rapidly recover and remain free of illness until their next attack."
Diagnosis of laryngitis is based on symptoms.,The diagnosis of laryngitis is based on the typical symptoms and voice changes.
Diagnosis of vocal cord paralysis is based on laryngoscopy. The cause must always be sought.,Doctors try to find the cause of the vocal cord paralysis.
Drugs that help reduce weight are generally not used during adolescence because of concerns about safety and possible abuse.,Drugs that help reduce weight are generally not used during adolescence because of concerns about safety.
"Drugs, particularly benzodiazepines and anticholinergics (eg, some tricyclic antidepressants, antihistamines, antipsychotics, benztropine), may temporarily cause or worsen symptoms of dementia, as may alcohol, even in moderate amounts.","Many drugs may temporarily cause or worsen symptoms of dementia. Some of these drugs can be purchased without a prescription (over the counter). Sleep aids (which are sedatives), cold remedies, antianxiety drugs, and some antidepressants are common examples."
"Dural ectasia (widening of the dural sac surrounding the spinal cord) is a common finding and most frequently occurs in the lumbosacral spine. It may cause headache, lower back pain, or neurologic deficits manifested by bowel or bladder weakness.","The sac that surrounds the spinal cord may widen (called dural ectasia). Dural ectasia is common and most frequently occurs in the lower portions of the spine. It may cause headache, lower back pain, or other neurologic problems such as bowel or bladder weakness."
Early cervical cancer can be asymptomatic.,"In the early stages, cervical cancer may cause no symptoms."
"Early- stage glottic carcinoma has a 5-yr survival rate of 85 to 95 % (see Table: Staging of Head and Neck Cancer). Patients who present with regional nodal disease have a 43 % 5-yr survival rate, and those who present with distant metastases have a 30 % 5-yr survival rate.","About 85 to 95 % of people with small vocal cord cancers that have not spread anywhere (metastasized) survive for 5 years, compared with fewer than 45 % of those who have laryngeal cancers that have spread to the local lymph nodes. For people who have cancers that have spread beyond the local lymph nodes, the chance of surviving longer than 5 years is about 30 %."
Edema of the upper airways may cause respiratory distress and stridor; the stridor may be mistaken for asthma. The airways may be completely obstructed.,"Sometimes the membranes lining the mouth, throat, and airways swell, making swallowing or breathing difficult."
"Effects may differ depending on mode of use. When injected or smoked, cocaine causes hyperstimulation, alertness, euphoria, a sense of increased energy, and feelings of competence and power.","Cocaine produces a sense of extreme alertness, euphoria, and great power when it is injected intravenously or inhaled. These feelings are less intense when cocaine is snorted."
"Evaluation is guided by abnormalities identified on history and physical examination. During the history, the physician asks about all possible causes of peripheral neuropathy, including chronic heavy metal exposure (arsenic, lead, mercury), drug effects from phenytoin and vincristine, and history of connective tissue disorders, Lyme disease, sarcoidosis, diabetes, and alcoholism.","They ask questions about all possible causes, including chronic exposure to heavy metals (arsenic, lead, and mercury), use of the drugs phenytoin and vincristine, history of a connective tissue disorder (such as Marfan syndrome), Lyme disease, sarcoidosis, diabetes, and alcoholism."
"Eventually, most patients develop symptoms related to the affected arteries.","Symptoms vary, depending on which arteries are affected."
Extensive pulmonary involvement is uncommon in otherwise healthy people and occurs mainly in those who are immunocompromised.,"The lung infection may worsen, usually only in people with a weakened immune system."
"Extreme aching in the legs and joints occurs during the first hours, accounting for the traditional name of breakbone fever.",These aches are often so painful that the disease has been called breakbone fever.
"Fever as high as 40° C, usually accompanied by peritonitis, is the major manifestation.",The abdominal pain is caused by inflammation of the lining of the abdominal cavity (peritonitis).
"Flaccid bullae, which are the primary lesions of pemphigus vulgaris, cause widespread and painful skin, oral, and other mucosal erosions.","The major symptom of pemphigus vulgaris is the development of clear, soft, and painful (sometimes tender) blisters of various sizes."
Fluid accumulation in the lungs may cause dyspnea and crackles on auscultation.,"If fluid accumulates in the lungs, people may become short of breath."
"Food may also trigger nonspecific symptoms (eg, light-headedness, syncope).",Food allergies sometimes cause symptoms such as light-headedness or fainting.
"For adults aged 76 to 85, the decision whether to screen for CRC should be individualized, taking into consideration the patient 's overall health and prior screening history (see also the U.S. Preventive Services Task Force 's recommendation statement for screening for colorectal cancer and the U.S. Multi -Society Task Force on Colorectal Cancer 's colorectal cancer screening recommendations).","For adults aged 76 to 85, doctors take into consideration the person 's overall health and the results of previous screenings and then decide whether to continue screening."
"For average-risk patients, screening for colorectal cancer (CRC) should begin at age 50 years and continue until age 75 years.","Early diagnosis depends on routine screening, which should typically begin at age 50 for people who are at average risk of developing colorectal cancer and continue until age 75."
"For many patients without red flag findings, clinicians can base the diagnosis on history and physical examination findings and begin treatment without testing.","If no warning signs are present, doctors can often make a diagnosis based on the history and physical examination and begin treatment without doing tests."
"For otherwise healthy patients in whom these phenomena are disabling, a beta-blocker can be given provided efforts are made to avoid reinforcing the perception by anxious patients that they have a serious disorder.","If such harmless palpitations are very bothersome, doctors sometimes give a beta-blocker (a type of antiarrhythmic drug)."
"For social anxiety disorder to be diagnosed, the anxiety must persist for 6 months and be consistently present in similar settings (eg, children are anxious about all classroom presentations rather than only occasional ones or ones for a specific class). The anxiety must occur in peer settings and not only during interactions with adults.","For the disorder to be diagnosed, symptoms must last 6 months or more. Also, children must feel anxious in all similar situations, for example, before all class presentations, not just for certain classes or teachers and they must feel anxious when interacting with other children, not just adults."
"For women with heavy menstrual bleeding due to von Willebrand disease, a brief period of treatment with tranexamic acid by mouth or intranasal desmopressin may decrease bleeding.","For women with heavy menstrual bleeding due to von Willebrand disease, a brief period of treatment with tranexamic acid by mouth may decrease bleeding."
"Gastric acid hypersecretion can develop, which can deactivate pancreatic enzymes; thus, most patients are given H2 blockers or proton pump inhibitors.","Because people with short bowel syndrome often have excess stomach acid, most people also take an acid - blocking drug, such as a proton pump inhibitor."
"Group A Î²- hemolytic streptococcus (GABHS) is most common (see Streptococcal Infections), but Staphylococcus aureus, Streptococcus pneumoniae, Mycoplasma pneumoniae, and Chlamydia pneumoniae are sometimes involved. Rare causes include pertussis, Fusobacterium, diphtheria, syphilis, and gonorrhea. GABHS occurs most commonly between ages 5 and 15 and is uncommon before age 3.","Group A streptococcus (strep throat) is the most common bacterial cause and usually occurs in children between age 5 and age 15. Strep throat is less common in children under age 3 and in older adults. Untreated strep throat sometimes causes complications. Rarely, bacterial infections such as gonorrhea and diphtheria cause tonsillopharyngitis."
High - resolution CT (HRCT),Chest x-ray and computed tomography
"Hoarding disorder is typically chronic, with little or no waxing and waning of symptoms or spontaneous remission.","Without treatment, symptoms typically continue throughout life, with little or no change."
"Hoarding symptoms often impair social, occupational, or other areas of functioning. For example, patients may not allow other people, including family members, friends, and repairmen, into the house because they are embarrassed by the clutter.","Hoarding often interferes with people 's ability to function at home and sometimes at work or school. For example, they may not allow other people, including family members, friends, and repairmen, into the house because they are embarrassed by the clutter."
Hookworm infection is often asymptomatic.,Many people with hookworm infection do not have symptoms.
"However, BMI is a crude screening tool and has limitations in many subpopulations.","However, BMI has some limitations. The BMI does not take sex and age into consideration and makes only a few adjustments based on ethnic group. For Asians and some other ethnic groups, the BMI that is considered overweight is slightly lower."
"However, a pruritic papulovesicular rash (ground itch) may develop at the site of larval penetration, usually on the feet.","However at the start of a hookworm infection, an itchy, red, raised rash (ground itch) may develop where the larvae penetrate the skin."
"However, severe throat pain with a normal -appearing pharynx raises suspicion of epiglottitis.","Thus, when people have severe throat pain but a normal -appearing throat, doctors may suspect they have epiglottitis."
"Icteric phase: After 3 to 10 days, the urine darkens, followed by jaundice. Systemic symptoms often regress, and patients feel better despite worsening jaundice.","Typically, after 3 to 10 days, the urine becomes dark, and jaundice (a yellowish discoloration of the skin and whites of the eyes) develops. Most of the initial symptoms (poor appetite, nausea, vomiting, and fever) usually disappear at this point, and people feel better even though the jaundice may worsen."
"If dangerous or debilitating arrhythmias are caused by a necessary therapeutic drug, a different drug should be tried.","If dangerous or debilitating arrhythmias are caused by a necessary therapeutic drug, doctors try a different drug."
"If large portions of the body are affected, fluid and electrolyte loss may be significant.","When severe, pemphigus vulgaris is as harmful as a serious burn. Similar to a burn, the damaged skin oozes large amounts of fluid and is prone to infection by many types of bacteria."
"In about 10 % of patients, knee involvement is chronic (unremittent for 6 months).","In about 10 % of people with arthritis, knee problems last longer than 6 months."
"In about 30 % of patients, the cause is bacterial.","In less than one third of people, tonsillopharyngitis is caused by a bacterial infection."
"In alcoholics, Wernicke encephalopathy and Korsakoff psychosis result mainly from thiamin deficiency.","In heavy drinkers, thiamin deficiency can lead to Wernicke encephalopathy, which can cause confusion, difficulty walking, and eye problems."
"In patients with papilledema, vision is usually not affected initially, but seconds-long graying out of vision, flickering, or blurred or double vision may occur.","At first, papilledema may be present without affecting vision. Fleeting vision changes, blurred vision, double vision, flickering, or complete loss of vision typically lasting seconds are characteristic of papilledema."
"In the immediate postoperative period, diarrhea is typically severe, with significant electrolyte losses.","Immediately after surgery, when diarrhea is typically severe, doctors give intravenous fluids to replace fluid and electrolyte losses and usually also give intravenous feedings."
"In the terminal stages, progressive jaundice and hepatic encephalopathy presage death.","In the weeks before death, jaundice progressively worsens. People may become confused and drowsy as toxins accumulate in the brain because the liver is too damaged to remove them from the blood. This condition is called hepatic encephalopathy."
"In untreated Lyme disease, the late stage begins months to years after initial infection.","If the initial infection is untreated, other problems develop months to years later."
"In women with FMF, about 20 to 30 % of pregnancies end in fetal loss.",About 20 to 30 % of pregnancies end in loss of the fetus.
Incubation lasts 3 to 6 days.,Symptoms of yellow fever usually appear about 3 to 6 days after being bitten by an infected mosquito.
"Infection may cause pain, bleeding, or discharge.","If myomas become infected, they may cause pain, bleeding, or a discharge from the vagina."
"Initially, weight gain and peripheral edema may be the only findings.","Early symptoms include Water retention, causing weight gain and swelling of the feet and ankles or puffiness of the face and hands; Decreased amount of urine."
It is uniformly fatal within 5 or 6 days.,Almost all people with hemorrhagic smallpox die in 5 or 6 days.
It may be accompanied by scalp pain elicited by touching the scalp or combing the hair.,The scalp may feel painful when touched or when the hair is brushed.
"It may cause progressive cyanosis, dyspnea, and mucopurulent or bloody sputum.","Coccidioidomycosis may also spread from the lungs to the skin, bones (causing osteomyelitis), joints, liver, spleen, kidneys, and other tissues."
"It occurs in at least 75 % of patients, beginning as a red macule or papule at the site of the tick bite, usually on the proximal portion of an extremity or the trunk (especially the thigh, buttock, or axilla), between 3 and 32 days after a tick bite.","Typically, a large, raised, red spot (erythema migrans) appears at the site of the bite, usually on the thigh, buttock, or trunk or in the armpit. The spot typically appears 3 to 32 days after the tick bite, which most people do not remember."
Joint pain and fever usually subside within 2 wk and seldom last > 1 mo.,Joint pains may be mild or severe and typically last about 2 weeks and rarely more than 4 weeks.
